protein,category,category_id,degree,clustering,betweenness
PHLPP1,PI3K-AKT-MTOR,5,5,0.7,4.036421026953191e-05
PAK1,Other,13,7,0.8571428571428571,5.807280958145793e-05
MXD1,Transcription,4,1,0.0,0.0
MAX,Transcription,4,3,0.3333333333333333,0.002659537142295763
SOCS2,JAK-STAT,10,10,0.7111111111111111,0.00020469175782962326
BCR,Other,13,6,0.7333333333333333,9.96158542714412e-05
STK3,Other,13,2,1.0,0.0
STK4,Other,13,2,1.0,0.0
PDK1,PI3K-AKT-MTOR,5,3,0.6666666666666666,1.5877172791292906e-06
PARP3,DNA repair,2,3,1.0,0.0
RELB,Transcription,4,18,0.43137254901960786,0.014802576181655282
RBPJ,Transcription,4,20,0.29473684210526313,0.03190441871482676
STAT5B,Transcription,4,47,0.2923219241443108,0.08196356427752957
FADD,Apoptosis,1,17,0.6911764705882353,0.0017333788987021414
MMP9,ECM-adhesion,11,33,0.38825757575757575,0.0096563063195914
RIPK1,Apoptosis,1,14,0.7582417582417582,9.57035419199221e-05
TP53,DNA repair,2,77,0.19890635680109364,0.06594723218706826
STAT3,Transcription,4,52,0.2911010558069382,0.015085142742087304
BIRC3,Apoptosis,1,16,0.7166666666666667,0.00015409986147166095
STAT1,Transcription,4,28,0.5291005291005291,0.00328573571187752
EZH2,Transcription,4,35,0.36470588235294116,0.016500504769505753
NFKB2,Transcription,4,11,0.7454545454545455,4.222409284317167e-05
NFKB1,Transcription,4,34,0.46880570409982175,0.00444314785487094
TGFB2,TGF-beta signaling,8,12,0.5909090909090909,0.0009451790149689358
PLCG1,Other,13,14,0.7912087912087912,0.0010269231570117006
TGFBR1,TGF-beta signaling,8,17,0.4852941176470588,0.0005386133097939864
AKT3,PI3K-AKT-MTOR,5,20,0.43157894736842106,0.001737196843456976
JAG1,Notch signaling,9,22,0.4155844155844156,0.00709392581710072
PRKCB,Other,13,12,0.48484848484848486,0.0025969105234544335
TNFRSF10B,Apoptosis,1,13,0.7564102564102564,0.0005718318620076059
PTK2,RTK signaling,3,18,0.5686274509803921,0.00034134765795681553
BCL2L11,Apoptosis,1,24,0.5652173913043478,0.002824361076172789
CDKN2A,Cell cycle,0,44,0.33509513742071884,0.014928337760492884
RICTOR,PI3K-AKT-MTOR,5,16,0.6083333333333333,0.0004508215054403461
CASP9,Apoptosis,1,27,0.47293447293447294,0.004605856895782381
GRB2,RTK signaling,3,25,0.5133333333333333,0.004990047875420812
CEBPA,Other,13,14,0.7032967032967034,0.0011805677512614935
PIK3R1,PI3K-AKT-MTOR,5,28,0.48148148148148145,0.006037559657352745
APAF1,Apoptosis,1,16,0.6833333333333333,0.0007181911990446843
NFE2L2,Other,13,14,0.7582417582417582,0.00060926259397771
JAK1,JAK-STAT,10,22,0.658008658008658,0.0022636181405619278
SOCS1,JAK-STAT,10,17,0.7132352941176471,0.001024562010603084
NRAS,MAPK signaling,6,31,0.46236559139784944,0.006245622464712011
KRAS,MAPK signaling,6,48,0.31648936170212766,0.017654995436645362
GLI1,Transcription,4,16,0.5,0.006017838675341314
DLL4,Notch signaling,9,10,0.6666666666666666,0.0002509978016629423
PDGFC,Angiogenesis,12,8,0.32142857142857145,0.0001570150027431012
WNT4,Wnt signaling,7,12,0.4090909090909091,0.009816309617091776
DLL1,Notch signaling,9,7,0.7142857142857143,0.0003904895155331002
BMP4,TGF-beta signaling,8,19,0.34502923976608185,0.008593988365979901
IHH,Other,13,6,0.6666666666666666,4.880557054401007e-05
SMO,Other,13,9,0.5833333333333334,0.0001587605871455793
MSH2,DNA repair,2,19,0.5730994152046783,9.583832059201515e-05
CCNE1,Cell cycle,0,26,0.39076923076923076,0.0011110334258302146
RET,RTK signaling,3,14,0.7362637362637363,0.0003876210936579867
BUB1,Cell cycle,0,13,0.6666666666666666,5.230423046515001e-05
MAD2L1,Cell cycle,0,11,0.8727272727272727,7.756983331695973e-06
PARP2,DNA repair,2,9,0.8055555555555556,5.319074284591526e-06
BUB1B,Cell cycle,0,13,0.7307692307692307,4.366073475268877e-05
XRCC2,DNA repair,2,10,0.9111111111111111,1.8680082308982144e-05
ERCC2,DNA repair,2,13,0.7051282051282052,4.663688345954355e-05
XRCC1,DNA repair,2,11,0.8,9.507845283707353e-05
ERCC3,DNA repair,2,11,0.8545454545454545,3.058467713640127e-05
RAD52,DNA repair,2,10,0.9555555555555556,3.3244214278697036e-06
RAD51,DNA repair,2,18,0.6339869281045751,7.278899869211855e-05
POLD1,DNA repair,2,16,0.6583333333333333,3.688524727112575e-05
EXO1,DNA repair,2,16,0.6833333333333333,3.058467713640127e-05
TGFB3,TGF-beta signaling,8,10,0.4222222222222222,0.001410867584521483
COL5A1,ECM-adhesion,11,10,0.4,4.6737995987005926e-05
COL4A1,ECM-adhesion,11,8,0.42857142857142855,8.669888365824766e-05
BMPR2,TGF-beta signaling,8,7,0.5238095238095238,0.00011624395897256007
ERBB4,RTK signaling,3,15,0.6,0.0009147357830206522
FZD1,Wnt signaling,7,6,0.5333333333333333,0.000806611747241128
TEK,RTK signaling,3,17,0.4411764705882353,0.004873802392294283
COL18A1,Other,13,7,0.5714285714285714,4.263662168609464e-05
WT1,Other,13,15,0.5619047619047619,0.002068882054862644
VEGFC,Angiogenesis,12,15,0.42857142857142855,0.0029522394600427168
HES5,Transcription,4,6,0.6666666666666666,0.00023355492330885694
DUSP6,MAPK signaling,6,10,0.5777777777777777,0.0013561854345672678
TSC1,PI3K-AKT-MTOR,5,12,0.6060606060606061,0.00039132832658404814
MMP7,ECM-adhesion,11,9,0.6111111111111112,0.0007183077041656664
RPTOR,PI3K-AKT-MTOR,5,12,0.7272727272727273,9.721456238514996e-05
ARID2,Other,13,8,0.8571428571428571,1.7256571882445217e-05
CDKN2B,Cell cycle,0,12,0.6060606060606061,0.00015980632920972276
NF2,Other,13,16,0.5416666666666666,0.003317700151281994
TET2,Other,13,13,0.6666666666666666,0.0008339025847265482
ARAF,MAPK signaling,6,13,0.6666666666666666,0.00012464087709785588
